region,title,rent_type,community,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhangjiang,整租·城市经典四期高迪 1室1厅 南,整租,城市经典四期高迪,60.92,1室1厅,南,,5980,98.2,,,https://sh.lianjia.com/zufang/SH2137883207020838912.html,2026-04-22 18:31:15,31.212907,121.618681
zhangjiang,整租·华发四季 3室2厅 南/北,整租,华发四季,89.84,3室2厅,南/北,,8500,94.6,,,https://sh.lianjia.com/zufang/SH2151283645007003648.html,2026-04-22 18:26:29,31.172771,121.623048
zhangjiang,整租·阳光花城 4室3厅 南/北,整租,阳光花城,211.00,4室3厅,南/北,,13000,61.6,,,https://sh.lianjia.com/zufang/SH2142289235539918848.html,2026-04-22 18:26:29,31.208903,121.623037
zhangjiang,独栋·纳仕 雅集服务公寓 张江国企直租 保租房 精装公寓 燃气可做饭 宠物友好 1室2厅,独栋,纳仕 雅集服务公寓 张江国企直租 保租房 精装公寓 燃气可做饭 宠物友好,79.00,1室2厅,,,6200,78.5,,,https://sh.lianjia.com/apartment/80843.html,2026-04-22 18:31:52,31.099715,121.758656
zhangjiang,整租·日月光水岸花园(一期) 2室2厅 南,整租,日月光水岸花园(一期),88.00,2室2厅,南,,7035,79.9,,,https://sh.lianjia.com/zufang/SH2110957731539058688.html,2026-04-22 18:31:15,31.214414,121.623717
zhangjiang,独栋·城方公寓 孙桥璟佩社区 浦东张江 朝南阳光一居室 13号线直达 拎包入住 1室1厅,独栋,城方公寓 孙桥璟佩社区 浦东张江 朝南阳光一居室 13号线直达 拎包入住,32.99,1室1厅,,,3762,114.0,,,https://sh.lianjia.com/apartment/85555.html,2026-04-22 18:26:29,31.213456,121.435516
zhangjiang,整租·盛大天地青春里2.0 2室2厅 西南,整租,盛大天地青春里2.0,54.00,2室2厅,西南,,5040,93.3,,,https://sh.lianjia.com/zufang/SH2067817588066353152.html,2026-04-22 18:31:15,31.169751,121.605652
zhangjiang,整租·华发四季 4室2厅 南,整租,华发四季,161.96,4室2厅,南,,14000,86.4,,,https://sh.lianjia.com/zufang/SH2130982069818359808.html,2026-04-22 18:26:29,31.172771,121.623048
zhangjiang,整租·香楠小区 3室1厅 南,整租,香楠小区,92.00,3室1厅,南,,6000,65.2,,,https://sh.lianjia.com/zufang/SH2072968642244378624.html,2026-04-22 18:31:15,31.21652,121.614476
zhangjiang,独栋·泊寓 张江国创店 【好采光一居室】 近地铁 通勤方便 宠物友好 公共厨房可做饭 实体墙 开间,独栋,泊寓 张江国创店 【好采光一居室】 近地铁 通勤方便 宠物友好 公共厨房可做饭 实体墙 开间,23.00,,,,3800,165.2,,,https://sh.lianjia.com/apartment/26211.html,2026-04-22 18:32:28,,
